type,lane,startmeasure,startposition,endmeasure,endposition
0,27,6,2,6,2
1,27,7,0,7,0
1,27,7,3,7,3
0,27,7,1,7,1
1,27,8,0,8,0
1,27,8,1,8,1
0,27,8,0,8,0
0,27,8,2,8,2
1,27,8,3,8,3
0,27,9,3,9,3
1,27,9,3,9,3
1,27,9,1,9,1
0,27,9,0,9,0
0,27,10,0,10,0
0,27,10,3,10,3
1,27,10,1,10,1
1,27,10,2,10,2
1,27,11,1,11,1
1,27,11,0,11,0
0,27,11,1,11,1
0,27,11,3,11,3
1,27,12,2,12,2
0,27,12,1,12,1
1,27,12,1,12,1
0,27,12,3,12,3
0,27,12,0,12,0
0,27,13,3,13,3
1,27,13,2,13,2
1,27,13,0,13,0
1,27,14,1,14,1
1,27,14,0,14,0
0,27,14,3,14,3
0,27,14,0,14,0
1,27,15,2,15,2
1,27,15,1,15,1
0,27,15,1,15,1
0,27,15,3,15,3
1,28,0,0,0,0
1,28,0,3,0,3
0,28,0,2,0,2
0,28,0,0,0,0
0,28,0,3,0,3
0,28,1,0,1,0
1,28,1,1,1,1
0,28,1,3,1,3
1,28,1,1,1,1
1,28,2,2,2,2
1,28,2,3,2,3
0,28,2,1,2,1
0,28,2,0,2,0
1,28,3,1,3,1
0,28,3,3,3,3
0,28,3,0,3,0
1,28,3,3,3,3
1,28,4,2,4,2
1,28,4,1,4,1
0,28,4,0,4,0
0,28,4,1,4,1
1,28,5,3,5,3
0,28,5,3,5,3
0,28,5,0,5,0
0,28,6,2,6,2
0,28,6,3,6,3
1,28,6,0,6,0
1,28,6,1,6,1
1,28,6,0,6,0
1,28,6,1,6,1
1,28,7,1,7,1
1,28,7,0,7,0
1,28,7,0,7,0
1,28,7,2,7,2
0,28,7,3,7,3
1,28,7,2,7,2
0,28,8,2,8,2
0,28,8,3,8,3
1,28,8,1,8,1
1,28,8,0,8,0
1,28,8,1,8,1
1,28,8,0,8,0
1,28,9,1,9,1
1,28,9,3,9,3
1,28,9,1,9,1
0,28,9,0,9,0
1,28,9,3,9,3
1,28,10,1,10,1
1,28,10,1,10,1
1,28,10,2,10,2
0,28,10,3,10,3
1,28,10,1,10,1
1,28,11,1,11,1
1,28,11,2,11,2
1,28,11,3,11,3
0,28,11,0,11,0
0,28,11,0,11,0
1,28,11,3,11,3
1,28,12,1,12,1
1,28,12,2,12,2
1,28,12,3,12,3
0,28,12,3,12,3
1,28,12,1,12,1
0,28,13,0,13,0
0,28,13,0,13,0
1,28,13,2,13,2
1,28,13,3,13,3
1,28,14,2,14,2
1,28,14,3,14,3
1,28,14,3,14,3
0,28,14,1,14,1
0,28,14,1,14,1
0,28,15,0,15,0
0,29,0,1,0,1
0,29,0,0,0,0
0,29,0,1,0,1
1,29,1,2,1,2
0,29,1,0,1,0
0,29,2,2,2,2
0,29,2,1,2,1
0,29,2,0,2,0
0,29,3,1,3,1
1,29,3,3,3,3
1,29,4,3,4,3
1,29,4,1,4,1
1,29,4,0,4,0
0,29,4,2,4,2
0,29,4,0,4,0
1,29,5,0,5,0
0,29,5,1,5,1
0,29,5,3,5,3
1,29,6,3,6,3
1,29,6,0,6,0
0,29,6,0,6,0
1,29,6,2,6,2
1,29,6,1,6,1
0,29,7,1,7,1
0,29,7,1,7,1
0,29,8,0,8,0
0,29,8,3,8,3
0,29,9,1,9,1
0,29,9,1,9,1
1,29,9,3,9,3
1,29,10,2,10,2
0,29,10,3,10,3
0,29,10,3,10,3
0,29,10,0,10,0
0,29,11,1,11,1
0,29,11,2,11,2
1,29,12,0,12,0
1,29,12,1,12,1
0,29,12,3,12,3
0,29,12,3,12,3
1,29,13,1,13,1
1,29,13,0,13,0
0,29,13,2,13,2
1,29,14,3,14,3
1,29,14,0,14,0
0,29,14,1,14,1
1,29,14,3,14,3
1,29,14,0,14,0
1,29,14,2,14,2
1,29,15,3,15,3
1,29,15,3,15,3
1,29,15,0,15,0
0,29,15,0,15,0
1,29,15,1,15,1
1,29,15,2,15,2
1,29,15,1,15,1
1,30,0,1,0,1
0,30,0,0,0,0
1,30,0,2,0,2
1,30,0,3,0,3
0,30,0,1,0,1
1,30,0,3,0,3
1,30,1,2,1,2
0,30,1,3,1,3
1,30,1,1,1,1
1,30,1,0,1,0
1,30,1,0,1,0
1,30,2,1,2,1
1,30,2,2,2,2
1,30,2,1,2,1
0,30,2,0,2,0
1,30,2,2,2,2
0,30,3,3,3,3
0,30,3,3,3,3
1,30,3,0,3,0
1,30,3,1,3,1
1,30,3,1,3,1
1,30,3,0,3,0
1,30,4,1,4,1
0,30,4,0,4,0
1,30,4,0,4,0
1,30,4,1,4,1
1,30,4,1,4,1
0,30,5,3,5,3
0,30,5,3,5,3
1,30,5,1,5,1
1,30,5,0,5,0
1,30,6,1,6,1
1,30,6,0,6,0
1,30,6,0,6,0
0,30,6,2,6,2
0,30,7,1,7,1
0,30,8,2,8,2
1,30,8,3,8,3
1,30,8,3,8,3
0,30,9,1,9,1
1,30,9,3,9,3
1,30,9,3,9,3
0,30,10,2,10,2
0,30,10,3,10,3
1,30,11,0,11,0
0,30,11,3,11,3
0,30,11,1,11,1
1,30,12,3,12,3
0,30,12,0,12,0
1,30,12,2,12,2
0,30,13,1,13,1
0,30,13,3,13,3
1,30,13,2,13,2
1,30,13,3,13,3
0,30,14,2,14,2
0,30,14,3,14,3
0,30,15,0,15,0
0,30,15,3,15,3
1,30,15,0,15,0
0,31,0,0,0,0
0,31,0,3,0,3
1,31,0,1,0,1
1,31,0,2,0,2
1,31,1,1,1,1
0,31,1,0,1,0
0,31,1,3,1,3
1,31,1,2,1,2
0,31,2,3,2,3
0,31,2,2,2,2
0,31,2,1,2,1
0,31,3,3,3,3
0,31,3,0,3,0
0,31,3,0,3,0
1,31,3,1,3,1
1,31,4,1,4,1
1,31,4,1,4,1
0,31,4,3,4,3
0,31,4,2,4,2
1,31,4,0,4,0
1,31,5,0,5,0
1,31,5,0,5,0
0,31,5,3,5,3
1,31,5,1,5,1
1,31,5,1,5,1
1,31,6,0,6,0
1,31,6,1,6,1
1,31,6,2,6,2
1,31,6,3,6,3
0,31,6,1,6,1
0,31,6,0,6,0
0,31,7,3,7,3
0,31,8,1,8,1
1,31,8,0,8,0
1,31,8,0,8,0
1,31,9,0,9,0
0,31,9,3,9,3
1,31,9,0,9,0
0,31,10,0,10,0
0,31,10,1,10,1
0,31,11,0,11,0
0,31,12,0,12,0
1,31,12,1,12,1
1,31,12,3,12,3
1,31,13,3,13,3
0,31,13,0,13,0
1,31,13,3,13,3
1,31,13,1,13,1
0,31,14,1,14,1
0,31,14,3,14,3
1,31,15,2,15,2
0,31,15,3,15,3
0,31,15,0,15,0
1,32,0,0,0,0
1,32,0,1,0,1
0,32,0,2,0,2
0,32,0,3,0,3
0,32,1,3,1,3
0,32,1,0,1,0
1,32,1,1,1,1
1,32,1,1,1,1
1,32,1,0,1,0
0,32,2,3,2,3
0,32,2,2,2,2
0,32,2,1,2,1
0,32,2,0,2,0
0,32,3,1,3,1
0,32,3,3,3,3
1,32,4,0,4,0
1,32,4,0,4,0
1,32,4,1,4,1
0,32,4,3,4,3
0,32,5,1,5,1
1,32,5,2,5,2
1,32,5,1,5,1
1,32,5,0,5,0
1,32,5,0,5,0
1,32,6,2,6,2
1,32,6,3,6,3
1,32,6,3,6,3
0,32,6,0,6,0
0,32,6,0,6,0
0,32,7,1,7,1
0,32,7,1,7,1
1,32,7,3,7,3
0,32,8,3,8,3
0,32,8,2,8,2
1,32,8,0,8,0
1,32,8,3,8,3
1,32,8,0,8,0
0,32,9,1,9,1
0,32,9,3,9,3
1,32,9,0,9,0
1,32,10,0,10,0
0,32,10,0,10,0
1,32,10,1,10,1
1,32,10,2,10,2
0,32,10,3,10,3
0,32,11,0,11,0
0,32,11,3,11,3
1,32,11,2,11,2
1,32,12,1,12,1
1,32,12,3,12,3
1,32,12,0,12,0
0,32,12,1,12,1
0,32,12,2,12,2
0,32,13,3,13,3
0,32,13,1,13,1
0,32,13,0,13,0
0,32,14,2,14,2
0,32,14,1,14,1
1,32,15,3,15,3
0,32,15,1,15,1
0,32,15,3,15,3
1,32,15,0,15,0
0,33,0,0,0,0
0,33,0,3,0,3
0,33,0,1,0,1
1,33,0,2,0,2
1,33,0,0,0,0
0,33,1,1,1,1
0,33,1,3,1,3
0,33,2,1,2,1
0,33,2,0,2,0
0,33,2,3,2,3
1,33,3,2,3,2
0,33,3,3,3,3
1,33,3,0,3,0
0,33,4,0,4,0
0,33,4,0,4,0
0,33,4,3,4,3
1,33,4,1,4,1
1,33,4,1,4,1
0,33,5,2,5,2
1,33,6,1,6,1
1,33,6,1,6,1
1,33,6,0,6,0
0,33,6,3,6,3
1,33,6,0,6,0
0,33,6,3,6,3
0,33,7,1,7,1
0,33,7,2,7,2
1,33,7,0,7,0
1,33,8,3,8,3
0,33,8,1,8,1
0,33,8,0,8,0
1,33,8,3,8,3
1,33,8,0,8,0
0,33,9,2,9,2
0,33,9,0,9,0
1,33,9,3,9,3
1,33,10,1,10,1
0,33,10,3,10,3
0,33,10,0,10,0
1,33,10,1,10,1
1,33,10,3,10,3
0,33,11,3,11,3
0,33,11,0,11,0
1,33,11,1,11,1
0,33,12,1,12,1
0,33,12,2,12,2
1,33,12,3,12,3
1,33,12,1,12,1
1,33,12,0,12,0
0,33,13,3,13,3
0,33,13,0,13,0
0,33,13,1,13,1
0,33,14,1,14,1
0,33,15,2,15,2
0,33,15,0,15,0
1,33,15,0,15,0
1,33,15,3,15,3
1,34,0,3,0,3
1,34,0,1,0,1
0,34,0,1,0,1
0,34,0,3,0,3
0,34,0,0,0,0
0,34,1,2,1,2
0,34,1,0,1,0
1,34,2,0,2,0
0,34,2,3,2,3
1,34,2,1,2,1
1,34,3,2,3,2
1,34,3,0,3,0
1,34,3,1,3,1
1,34,3,0,3,0
1,34,3,1,3,1
1,34,3,3,3,3
1,34,4,0,4,0
1,34,4,2,4,2
1,34,4,1,4,1
1,34,4,3,4,3
0,34,4,0,4,0
1,34,5,1,5,1
1,34,5,3,5,3
1,34,5,1,5,1
1,34,5,3,5,3
0,34,5,0,5,0
0,34,6,3,6,3
1,34,6,0,6,0
1,34,6,1,6,1
1,34,6,3,6,3
1,34,6,1,6,1
1,34,6,2,6,2
0,34,7,3,7,3
1,34,8,1,8,1
0,34,8,3,8,3
1,34,8,0,8,0
1,34,9,1,9,1
0,34,9,3,9,3
1,34,9,0,9,0
0,34,10,3,10,3
0,34,10,1,10,1
0,34,11,0,11,0
0,34,12,1,12,1
1,34,12,3,12,3
1,34,12,3,12,3
0,34,13,0,13,0
1,34,13,3,13,3
1,34,13,0,13,0
1,34,13,3,13,3
0,34,14,0,14,0
0,34,14,1,14,1
0,34,14,3,14,3
1,34,15,1,15,1
0,34,15,3,15,3
1,35,0,1,0,1
1,35,0,1,0,1
0,35,0,0,0,0
0,35,0,3,0,3
0,35,1,0,1,0
1,35,1,2,1,2
1,35,1,1,1,1
1,35,1,1,1,1
1,35,2,0,2,0
0,35,2,2,2,2
1,35,2,1,2,1
0,35,2,1,2,1
1,35,2,3,2,3
0,35,3,0,3,0
1,35,4,3,4,3
0,35,4,1,4,1
1,35,4,2,4,2
0,35,5,0,5,0
1,35,5,2,5,2
1,35,5,3,5,3
1,35,5,1,5,1
1,35,5,0,5,0
1,35,5,3,5,3
1,35,6,2,6,2
1,35,6,3,6,3
1,35,6,1,6,1
0,35,6,1,6,1
0,35,6,0,6,0
0,35,7,3,7,3
1,35,8,0,8,0
1,35,8,0,8,0
0,35,8,1,8,1
1,35,9,0,9,0
0,35,9,3,9,3
1,35,9,0,9,0
0,35,10,1,10,1
0,35,10,0,10,0
1,35,10,1,10,1
0,35,11,3,11,3
0,35,11,0,11,0
1,35,12,2,12,2
1,35,12,1,12,1
1,35,12,0,12,0
0,35,12,1,12,1
1,35,13,1,13,1
1,35,13,0,13,0
0,35,13,2,13,2
0,35,13,3,13,3
1,35,14,0,14,0
0,35,14,1,14,1
0,35,14,1,14,1
1,35,14,3,14,3
0,35,14,0,14,0
0,35,15,2,15,2
0,35,15,3,15,3
0,36,0,0,0,0
1,36,0,1,0,1
1,36,0,1,0,1
0,36,0,3,0,3
0,36,1,3,1,3
0,36,1,2,1,2
1,36,1,0,1,0
1,36,1,1,1,1
1,36,1,1,1,1
0,36,2,0,2,0
0,36,2,1,2,1
0,36,2,3,2,3
1,36,2,1,2,1
1,36,3,1,3,1
1,36,3,2,3,2
1,36,3,0,3,0
1,36,4,0,4,0
1,36,4,1,4,1
1,36,4,0,4,0
1,36,4,2,4,2
1,36,4,3,4,3
1,36,5,3,5,3
1,36,5,1,5,1
1,36,5,0,5,0
1,36,5,1,5,1
1,36,5,3,5,3
0,36,5,2,5,2
1,36,6,0,6,0
1,36,6,0,6,0
0,36,6,3,6,3
1,36,6,1,6,1
0,36,7,2,7,2
1,36,7,3,7,3
0,36,7,1,7,1
1,36,7,0,7,0
1,36,8,0,8,0
1,36,8,3,8,3
1,36,8,3,8,3
0,36,8,0,8,0
0,36,8,1,8,1
0,36,9,2,9,2
0,36,9,0,9,0
1,36,9,3,9,3
1,36,10,3,10,3
1,36,10,1,10,1
0,36,10,3,10,3
1,36,10,1,10,1
0,36,10,0,10,0
0,36,11,0,11,0
0,36,11,3,11,3
1,36,11,1,11,1
1,36,12,3,12,3
1,36,12,1,12,1
0,36,12,1,12,1
1,36,12,0,12,0
0,36,12,2,12,2
0,36,13,3,13,3
0,36,13,0,13,0
0,36,13,1,13,1
0,36,14,2,14,2
0,36,14,1,14,1
1,36,15,3,15,3
0,36,15,3,15,3
0,36,15,1,15,1
1,36,15,0,15,0
0,37,0,2,0,2
0,37,0,1,0,1
0,37,0,0,0,0
0,37,1,0,1,0
0,37,1,3,1,3
0,37,2,3,2,3
1,37,2,1,2,1
0,37,2,0,2,0
0,37,2,1,2,1
1,37,3,1,3,1
1,37,3,0,3,0
1,37,3,2,3,2
1,37,4,0,4,0
1,37,4,2,4,2
1,37,4,0,4,0
1,37,4,1,4,1
1,37,4,3,4,3
1,37,5,1,5,1
1,37,5,3,5,3
0,37,5,2,5,2
1,37,5,1,5,1
1,37,5,0,5,0
1,37,5,3,5,3
1,37,6,0,6,0
1,37,6,1,6,1
0,37,6,3,6,3
1,37,6,0,6,0
1,37,7,3,7,3
0,37,7,2,7,2
0,37,7,1,7,1
1,37,7,0,7,0
1,37,8,3,8,3
0,37,8,1,8,1
1,37,8,3,8,3
1,37,8,0,8,0
0,37,8,0,8,0
0,37,9,0,9,0
0,37,9,2,9,2
1,37,9,3,9,3
1,37,10,1,10,1
0,37,10,0,10,0
0,37,10,3,10,3
1,37,10,1,10,1
1,37,10,3,10,3
0,37,11,3,11,3
0,37,11,0,11,0
1,37,11,1,11,1
1,37,12,0,12,0
0,37,12,2,12,2
1,37,12,3,12,3
0,37,12,1,12,1
1,37,12,1,12,1
0,37,13,3,13,3
0,37,13,1,13,1
0,37,13,0,13,0
0,37,14,1,14,1
0,37,14,2,14,2
0,37,15,1,15,1
1,37,15,0,15,0
1,37,15,3,15,3
0,37,15,3,15,3
0,38,0,3,0,3
0,38,0,1,0,1
0,38,0,2,0,2
0,38,1,0,1,0
0,38,1,0,1,0
1,38,2,3,2,3
1,38,2,1,2,1
0,38,2,2,2,2
0,38,2,3,2,3
0,38,3,0,3,0
0,38,3,1,3,1
1,38,3,1,3,1
1,38,3,0,3,0
1,38,4,0,4,0
1,38,4,2,4,2
0,38,4,1,4,1
0,38,4,3,4,3
0,38,5,0,5,0
0,38,5,0,5,0
1,38,5,1,5,1
1,38,5,3,5,3
1,38,5,2,5,2
1,38,6,1,6,1
0,38,6,2,6,2
1,38,6,3,6,3
0,38,6,3,6,3
0,38,7,1,7,1
0,38,7,0,7,0
1,38,8,1,8,1
1,38,8,0,8,0
0,38,8,2,8,2
0,38,8,3,8,3
1,38,9,1,9,1
1,38,9,0,9,0
0,38,9,1,9,1
0,38,9,0,9,0
0,38,10,2,10,2
0,38,10,0,10,0
0,38,11,3,11,3
0,38,11,0,11,0
0,38,11,1,11,1
1,38,12,1,12,1
1,38,12,0,12,0
0,38,12,2,12,2
1,38,13,1,13,1
1,38,13,0,13,0
0,38,13,0,13,0
0,38,13,3,13,3
0,38,14,2,14,2
0,38,14,1,14,1
0,38,15,3,15,3
0,38,15,0,15,0
0,39,0,1,0,1
1,39,0,0,0,0
0,39,0,2,0,2
1,39,0,1,0,1
1,39,1,0,1,0
1,39,1,1,1,1
0,39,1,0,1,0
0,39,2,1,2,1
0,39,2,2,2,2
0,39,2,1,2,1
1,39,2,3,2,3
1,39,2,3,2,3
0,39,3,0,3,0
1,39,4,0,4,0
1,39,4,3,4,3
1,39,4,1,4,1
1,39,4,3,4,3
0,39,4,1,4,1
0,39,5,0,5,0
1,39,5,2,5,2
1,39,5,1,5,1
1,39,5,3,5,3
1,39,5,0,5,0
1,39,6,2,6,2
1,39,6,1,6,1
0,39,6,0,6,0
1,39,6,1,6,1
0,39,6,3,6,3
0,39,7,3,7,3
0,39,7,0,7,0
1,39,8,3,8,3
0,39,8,0,8,0
0,39,8,2,8,2
1,39,9,1,9,1
0,39,9,3,9,3
0,39,9,0,9,0
1,39,10,0,10,0
0,39,10,1,10,1
0,39,10,2,10,2
0,39,11,0,11,0
1,39,11,3,11,3
1,39,12,3,12,3
0,39,12,2,12,2
0,39,12,1,12,1
1,39,13,0,13,0
0,39,13,3,13,3
0,39,14,2,14,2
1,39,14,0,14,0
1,39,15,3,15,3
0,39,15,1,15,1
1,40,0,3,0,3
0,40,0,0,0,0
0,40,0,3,0,3
1,40,1,0,1,0
0,40,1,2,1,2
0,40,2,0,2,0
1,40,2,0,2,0
0,40,2,1,2,1
0,40,3,2,3,2
1,40,3,3,3,3
1,40,4,1,4,1
1,40,4,3,4,3
0,40,4,1,4,1
0,40,4,3,4,3
1,40,5,0,5,0
0,40,5,0,5,0
0,40,5,1,5,1
1,40,6,2,6,2
1,40,6,1,6,1
1,40,6,2,6,2
1,40,7,1,7,1
1,40,7,0,7,0
1,40,7,3,7,3
1,40,7,3,7,3
1,40,7,3,7,3
1,40,7,1,7,1
1,40,8,3,8,3
1,40,8,0,8,0
1,40,8,3,8,3
1,40,9,0,9,0
1,40,9,1,9,1
1,40,9,2,9,2
1,40,9,0,9,0
1,40,9,2,9,2
1,40,10,1,10,1
1,40,10,0,10,0
1,40,10,0,10,0
1,40,10,3,10,3
1,40,10,3,10,3
1,40,11,3,11,3
1,40,11,1,11,1
1,40,11,0,11,0
1,40,11,3,11,3
1,40,12,1,12,1
1,40,12,3,12,3
1,40,12,2,12,2
1,40,12,0,12,0
1,40,12,0,12,0
1,40,12,0,12,0
1,40,12,3,12,3
1,40,13,3,13,3
1,40,13,0,13,0
1,40,13,1,13,1
1,40,13,1,13,1
1,40,13,3,13,3
1,40,14,0,14,0
1,40,14,1,14,1
1,40,14,0,14,0
1,40,14,3,14,3
1,40,14,3,14,3
1,40,15,1,15,1
1,40,15,0,15,0
1,40,15,1,15,1
1,40,15,0,15,0
1,40,15,3,15,3
1,40,15,0,15,0
1,41,0,2,0,2
1,41,0,0,0,0
1,41,0,1,0,1
1,41,0,3,0,3
1,41,0,1,0,1
1,41,0,0,0,0
1,41,0,3,0,3
1,41,1,1,1,1
1,41,1,2,1,2
1,41,1,0,1,0
1,41,2,3,2,3
1,41,2,2,2,2
1,41,2,0,2,0
1,41,2,1,2,1
1,41,2,1,2,1
1,41,2,0,2,0
1,41,2,3,2,3
1,41,2,1,2,1
1,41,3,3,3,3
1,41,3,2,3,2
1,41,3,1,3,1
1,41,3,0,3,0
1,41,3,0,3,0
1,41,3,0,3,0
1,41,4,1,4,1
1,41,4,1,4,1
1,41,4,3,4,3
1,41,4,3,4,3
1,41,4,0,4,0
1,41,4,3,4,3
1,41,4,0,4,0
1,41,5,3,5,3
1,41,5,2,5,2
1,41,5,1,5,1
1,41,5,0,5,0
1,41,5,1,5,1
1,41,5,1,5,1
1,41,6,3,6,3
1,41,6,1,6,1
0,41,6,2,6,2
1,41,6,0,6,0
1,41,6,0,6,0
1,41,6,1,6,1
0,41,7,1,7,1
1,41,7,0,7,0
1,41,7,3,7,3
1,41,7,0,7,0
1,41,7,0,7,0
1,41,7,3,7,3
1,41,8,0,8,0
1,41,8,2,8,2
0,41,8,1,8,1
1,41,8,3,8,3
1,41,8,0,8,0
1,41,9,1,9,1
0,41,9,0,9,0
1,41,9,3,9,3
1,41,9,2,9,2
0,41,10,0,10,0
1,41,10,3,10,3
1,41,10,1,10,1
1,41,11,2,11,2
0,41,11,1,11,1
1,41,11,3,11,3
1,41,12,1,12,1
0,41,12,0,12,0
1,41,12,3,12,3
1,41,12,2,12,2
1,41,12,3,12,3
0,41,13,0,13,0
1,41,13,1,13,1
1,41,13,2,13,2
1,41,13,1,13,1
1,41,13,2,13,2
1,41,14,1,14,1
1,41,14,0,14,0
1,41,14,3,14,3
1,41,14,1,14,1
1,41,14,1,14,1
1,41,15,1,15,1
1,41,15,3,15,3
1,41,15,0,15,0
1,41,15,1,15,1
1,41,15,0,15,0
1,41,15,3,15,3
1,42,0,0,0,0
1,42,0,2,0,2
1,42,0,3,0,3
1,42,0,0,0,0
1,42,0,0,0,0
1,42,0,2,0,2
1,42,1,3,1,3
1,42,1,1,1,1
1,42,1,3,1,3
1,42,1,0,1,0
1,42,1,3,1,3
1,42,1,0,1,0
1,42,2,1,2,1
1,42,2,1,2,1
1,42,2,2,2,2
1,42,2,1,2,1
1,42,3,2,3,2
1,42,3,0,3,0
1,42,3,3,3,3
1,42,3,1,3,1
1,42,3,1,3,1
1,42,4,3,4,3
1,42,4,0,4,0
1,42,4,1,4,1
1,42,4,0,4,0
1,42,4,0,4,0
1,42,5,1,5,1
1,42,5,0,5,0
1,42,5,2,5,2
1,42,6,2,6,2
1,42,6,0,6,0
0,42,6,1,6,1
1,42,6,3,6,3
1,42,6,3,6,3
1,42,6,0,6,0
0,42,7,1,7,1
0,42,7,3,7,3
0,42,8,0,8,0
1,42,8,3,8,3
0,42,8,1,8,1
1,42,8,2,8,2
1,42,9,3,9,3
0,42,9,1,9,1
1,42,9,2,9,2
0,42,10,2,10,2
0,42,10,3,10,3
0,42,10,3,10,3
0,42,10,0,10,0
0,42,11,1,11,1
1,42,12,3,12,3
1,42,12,2,12,2
0,42,12,0,12,0
0,42,12,1,12,1
0,42,13,1,13,1
1,42,13,2,13,2
1,42,13,3,13,3
0,42,14,3,14,3
0,42,14,3,14,3
0,42,14,2,14,2
0,42,14,1,14,1
0,42,15,1,15,1
1,43,0,2,0,2
1,43,0,3,0,3
0,43,0,0,0,0
1,43,1,2,1,2
1,43,1,3,1,3
0,43,1,1,1,1
0,43,2,3,2,3
0,43,2,0,2,0
0,43,2,3,2,3
0,43,2,2,2,2
1,43,2,1,2,1
1,43,2,0,2,0
0,43,3,0,3,0
0,43,3,1,3,1
1,43,4,1,4,1
1,43,4,2,4,2
1,43,4,3,4,3
0,43,4,0,4,0
0,43,5,1,5,1
0,43,5,0,5,0
1,43,5,3,5,3
1,43,5,2,5,2
1,43,6,3,6,3
0,43,6,2,6,2
0,43,6,3,6,3
0,43,6,1,6,1
0,43,7,1,7,1
0,43,7,0,7,0
1,43,8,3,8,3
1,43,8,2,8,2
0,43,8,0,8,0
0,43,8,1,8,1
1,43,9,3,9,3
1,43,9,2,9,2
0,43,9,0,9,0
1,43,10,1,10,1
1,43,10,3,10,3
0,43,10,2,10,2
0,43,10,3,10,3
0,43,10,0,10,0
0,43,11,1,11,1
0,43,11,0,11,0
1,43,12,2,12,2
0,43,12,0,12,0
1,43,12,3,12,3
0,43,13,1,13,1
0,43,13,0,13,0
1,43,13,3,13,3
1,43,13,2,13,2
1,43,14,1,14,1
1,43,14,0,14,0
0,43,14,3,14,3
0,43,14,3,14,3
0,43,14,2,14,2
0,43,15,0,15,0
0,43,15,1,15,1
0,44,0,3,0,3
1,44,0,2,0,2
0,44,0,1,0,1
1,44,0,3,0,3
1,44,1,2,1,2
0,44,1,1,1,1
1,44,1,3,1,3
1,44,1,0,1,0
0,44,2,1,2,1
0,44,2,0,2,0
0,44,2,2,2,2
1,44,2,3,2,3
0,44,2,3,2,3
0,44,3,0,3,0
0,44,3,2,3,2
0,44,3,3,3,3
0,44,4,0,4,0
0,44,4,3,4,3
0,44,4,2,4,2
0,44,4,1,4,1
0,44,5,2,5,2
0,44,5,1,5,1
1,44,5,3,5,3
0,44,5,3,5,3
1,44,6,2,6,2
1,44,6,3,6,3
1,44,6,0,6,0
1,44,6,3,6,3
1,44,6,1,6,1
1,44,6,0,6,0
1,44,6,0,6,0
1,44,7,2,7,2
1,44,7,1,7,1
1,44,7,1,7,1
1,44,7,1,7,1
1,44,8,3,8,3
1,44,8,1,8,1
1,44,8,2,8,2
1,44,8,1,8,1
1,44,9,3,9,3
1,44,9,1,9,1
1,44,9,0,9,0
1,44,9,2,9,2
1,44,9,3,9,3
1,44,9,0,9,0
1,44,9,3,9,3
1,44,10,0,10,0
1,44,10,3,10,3
1,44,10,1,10,1
1,44,10,0,10,0
1,44,10,2,10,2
1,44,10,2,10,2
1,44,11,3,11,3
1,44,11,0,11,0
1,44,11,1,11,1
1,44,11,3,11,3
1,44,11,0,11,0
1,44,11,1,11,1
1,44,11,1,11,1
1,44,12,2,12,2
1,44,12,3,12,3
1,44,12,0,12,0
1,44,12,1,12,1
1,44,12,3,12,3
1,44,12,2,12,2
1,44,13,3,13,3
1,44,13,1,13,1
1,44,13,3,13,3
1,44,13,3,13,3
1,44,14,0,14,0
1,44,14,0,14,0
1,44,14,1,14,1
1,44,14,3,14,3
1,44,14,2,14,2
1,44,14,1,14,1
1,44,15,3,15,3
1,44,15,0,15,0
1,44,15,0,15,0
1,44,15,2,15,2
1,44,15,3,15,3
1,44,15,1,15,1
1,45,0,1,0,1
1,45,0,1,0,1
1,45,0,0,0,0
1,45,0,2,0,2
1,45,0,3,0,3
1,45,1,0,1,0
1,45,1,3,1,3
1,45,1,1,1,1
1,45,1,1,1,1
1,45,1,3,1,3
1,45,1,2,1,2
1,45,2,1,2,1
1,45,2,0,2,0
1,45,2,0,2,0
1,45,2,3,2,3
1,45,2,3,2,3
1,45,2,2,2,2
1,45,3,0,3,0
1,45,3,0,3,0
1,45,3,2,3,2
1,45,3,1,3,1
1,45,3,3,3,3
1,45,3,3,3,3
1,45,4,3,4,3
1,45,4,2,4,2
1,45,4,3,4,3
1,45,4,1,4,1
1,45,5,1,5,1
1,45,5,0,5,0
1,45,5,2,5,2
1,45,5,3,5,3
1,45,5,0,5,0
1,45,5,3,5,3
1,45,5,1,5,1
1,45,6,3,6,3
1,45,6,1,6,1
1,45,6,3,6,3
1,45,6,2,6,2
1,45,6,0,6,0
1,45,6,0,6,0
1,45,6,1,6,1
1,45,6,3,6,3
1,45,7,1,7,1
1,45,7,2,7,2
1,45,7,1,7,1
1,45,7,1,7,1
1,45,8,0,8,0
1,45,8,1,8,1
1,45,8,2,8,2
1,45,8,2,8,2
1,45,9,3,9,3
1,45,9,0,9,0
1,45,9,1,9,1
1,45,9,1,9,1
1,45,9,3,9,3
1,45,9,0,9,0
1,45,9,0,9,0
1,45,10,0,10,0
1,45,10,3,10,3
1,45,10,1,10,1
1,45,10,3,10,3
1,45,10,1,10,1
1,45,10,1,10,1
1,45,11,3,11,3
1,45,11,2,11,2
1,45,11,1,11,1
1,45,11,3,11,3
1,45,11,0,11,0
1,45,11,0,11,0
1,45,11,1,11,1
1,45,12,2,12,2
1,45,12,0,12,0
1,45,12,1,12,1
1,45,12,3,12,3
1,45,12,0,12,0
1,45,12,1,12,1
1,45,13,0,13,0
1,45,13,0,13,0
1,45,13,2,13,2
1,45,13,0,13,0
1,45,14,1,14,1
